,height,lean angle,width,material,n_struts,E1,E2,E3,weight,cost,reliability,IoP E1,IoP E2,IoP E3,CAC E1,CAC E2,CAC E3,IoP,CAC,value
189,14.0,0.0,100,Titanium,20,0.32077074265479744,1.115267021339668,2.3333333333333335,23.567600000000013,25.92436000000001,1.0,0.3207707426547975,-0.20670446735933176,2.3333333333333335,1.4486942378757808,1.4486942378757808,2.361583982085092,0.815799869542933,1.7529908192788846,-1.4538099868770031
190,14.0,0.0,100,Titanium,22,0.29166151852577094,1.0686474379188926,2.666666666666666,25.92436000000001,28.516796000000014,1.0,0.2916615185257711,-0.21049275797888026,2.666666666666668,1.424073659048127,1.424073659048127,2.2595340130879773,0.9159451424045195,1.7025604437280772,-1.7901846294957775
191,14.0,0.0,100,Titanium,24,0.3148849500312643,1.105840689706989,3.0,28.281120000000016,31.109232000000016,1.0,0.3148849500312644,-0.2074357967724597,2.9999999999999996,1.4364857214518671,1.4364857214518667,2.2986888579495632,1.0358163844196013,1.723886766951099,-2.0836797220090904
192,14.0,0.0,100,Titanium,26,0.3433701983437773,1.1514609509712697,3.333333333333334,30.637880000000006,33.70166800000001,1.0,0.3433701983437773,-0.2031664987706587,3.3333333333333326,1.4612746437431037,1.4612746437431035,2.2781958298563123,1.1578456776354837,1.7335817057808398,-2.39851086903003
193,14.0,0.0,100,Titanium,28,0.3097250872619206,1.0975769636884274,3.666666666666666,32.99464000000001,36.29410400000002,1.0,0.3097250872619208,-0.20680288699838698,3.666666666666667,1.429070414809496,1.4290704148094957,2.2005254237152387,1.2565296223100668,1.6862220844447435,-2.726857763751109
194,14.0,0.0,100,Titanium,30,0.30556345251573885,1.090911939661801,4.0,35.35140000000001,38.88654000000002,1.0,0.305563452515739,-0.20826156184674086,4.0,1.4285670951850151,1.4285670951850156,2.064480341444553,1.365767296889666,1.6405381772715277,-3.0813143550841415
210,14.0,0.0,110,Inconel,10,0.457322369547784,0.1787676252360951,0.6666666666666665,23.96394000000001,14.378364000000007,0.88,0.4573223695477842,0.012565096038569822,0.6666666666666669,1.3458830088702256,1.3458830088702263,3.9269838642165436,0.3788513774176736,2.206249960652332,0.2497692397475964
211,14.0,0.0,110,Inconel,12,0.4246060184243243,0.1523047256566714,1.0,28.756728000000013,17.254036800000005,0.92,0.4246060184243244,0.009033042297469063,1.0,1.4696835282975025,1.4696835282975023,3.750656614324794,0.4778796869072645,2.2300078903065996,-0.1215840625139713
212,14.0,0.0,110,Inconel,14,0.49586168858749097,0.20994048206718074,1.333333333333333,33.54951600000001,20.129709600000005,0.92,0.495861688587491,0.016703901588347538,1.3333333333333337,1.5506401744121088,1.5506401744121083,3.2157526203288933,0.6152996411697241,2.1056776563843704,-0.6158350113264144
213,14.0,0.0,110,Inconel,16,0.43679044710997006,0.16216020469600984,1.666666666666667,38.34230400000001,23.005382400000002,0.9,0.43679044710997017,0.010746927060763557,1.6666666666666663,1.3907314556324446,1.3907314556324437,2.922582067204283,0.7047346802791333,1.9013483261563904,-0.855682484681484
214,14.0,0.0,110,Inconel,18,0.4394623750743908,0.16432141641363376,2.0,43.135092000000014,25.88105520000001,0.96,0.439462375074391,0.009689192576744193,2.0,1.4066635550252018,1.4066635550252033,2.944255622052923,0.8163838558837117,1.9191942440344427,-1.161613946624461
215,14.0,0.0,110,Inconel,20,0.44550955781818863,0.16921273174044582,2.3333333333333335,47.92788000000002,28.756728000000013,0.88,0.44550955781818863,0.011892584322163143,2.3333333333333335,1.4587664441414336,1.4587664441414339,2.9607729461111085,0.9302451584912284,1.9594352781313251,-1.4566126397423556
216,14.0,0.0,110,Inconel,22,0.4874074103392638,0.2031021670162424,2.666666666666666,52.720668000000025,31.632400800000006,0.92,0.487407410339264,0.015704152589275423,2.6666666666666674,1.480630340475181,1.480630340475181,2.776203744014342,1.0565927431984024,1.9124881416549016,-1.841626577345338
217,14.0,0.0,110,Inconel,24,0.46816728866284874,0.18753963053723463,3.0,57.513456000000026,34.50807360000001,0.98,0.46816728866284896,0.010786559486126435,3.0,1.4509093385301826,1.4509093385301814,2.8578619382245782,1.159651282716325,1.9198935384283142,-2.1112767609246896
218,14.0,0.0,110,Inconel,26,0.49692256016638503,0.21079857708984995,3.333333333333334,62.30624400000001,37.383746400000014,0.96,0.49692256016638514,0.014992383969475293,3.3333333333333326,1.4964216029724813,1.4964216029724813,2.8504415047931952,1.2817494258230644,1.9477615702460527,-2.445189100157691
